compare.05.50.Model,compare.05.50.AIC_Percentage,compare.05.50.BIC_Percentage,compare.05.50.AUC_Percentage,compare.05.100.Model,compare.05.100.AIC_Percentage,compare.05.100.BIC_Percentage,compare.05.100.AUC_Percentage,compare.05.150.Model,compare.05.150.AIC_Percentage,compare.05.150.BIC_Percentage,compare.05.150.AUC_Percentage,compare.05.200.Model,compare.05.200.AIC_Percentage,compare.05.200.BIC_Percentage,compare.05.200.AUC_Percentage,compare.05.250.Model,compare.05.250.AIC_Percentage,compare.05.250.BIC_Percentage,compare.05.250.AUC_Percentage,compare.05.300.Model,compare.05.300.AIC_Percentage,compare.05.300.BIC_Percentage,compare.05.300.AUC_Percentage,compare.05.350.Model,compare.05.350.AIC_Percentage,compare.05.350.BIC_Percentage,compare.05.350.AUC_Percentage,compare.05.400.Model,compare.05.400.AIC_Percentage,compare.05.400.BIC_Percentage,compare.05.400.AUC_Percentage,compare.05.450.Model,compare.05.450.AIC_Percentage,compare.05.450.BIC_Percentage,compare.05.450.AUC_Percentage,compare.05.500.Model,compare.05.500.AIC_Percentage,compare.05.500.BIC_Percentage,compare.05.500.AUC_Percentage,compare.05.550.Model,compare.05.550.AIC_Percentage,compare.05.550.BIC_Percentage,compare.05.550.AUC_Percentage,compare.05.600.Model,compare.05.600.AIC_Percentage,compare.05.600.BIC_Percentage,compare.05.600.AUC_Percentage,compare.05.650.Model,compare.05.650.AIC_Percentage,compare.05.650.BIC_Percentage,compare.05.650.AUC_Percentage,compare.05.700.Model,compare.05.700.AIC_Percentage,compare.05.700.BIC_Percentage,compare.05.700.AUC_Percentage,compare.05.750.Model,compare.05.750.AIC_Percentage,compare.05.750.BIC_Percentage,compare.05.750.AUC_Percentage,compare.05.800.Model,compare.05.800.AIC_Percentage,compare.05.800.BIC_Percentage,compare.05.800.AUC_Percentage,compare.05.850.Model,compare.05.850.AIC_Percentage,compare.05.850.BIC_Percentage,compare.05.850.AUC_Percentage,compare.05.900.Model,compare.05.900.AIC_Percentage,compare.05.900.BIC_Percentage,compare.05.900.AUC_Percentage,compare.05.950.Model,compare.05.950.AIC_Percentage,compare.05.950.BIC_Percentage,compare.05.950.AUC_Percentage,compare.05.1000.Model,compare.05.1000.AIC_Percentage,compare.05.1000.BIC_Percentage,compare.05.1000.AUC_Percentage
Model 1,31.25,17.5,60,Model 1,35,15,76.25,Model 1,42.5,20,76.25,Model 1,42.5,13.750000000000002,77.5,Model 1,47.5,18.75,80,Model 1,50,18.75,81.25,Model 1,66.25,22.5,87.5,Model 1,60,15,91.25,Model 1,62.5,21.25,91.25,Model 1,62.5,22.5,90,Model 1,80,35,88.75,Model 1,68.75,22.5,85,Model 1,77.5,36.25,92.5,Model 1,75,37.5,95,Model 1,80,35,88.75,Model 1,81.25,35,98.75,Model 1,80,45,90,Model 1,85,48.75,96.25,Model 1,85,47.5,96.25,Model 1,87.5,42.5,97.5
Model 2,68.75,82.5,40,Model 2,65,85,23.75,Model 2,57.5,80,23.75,Model 2,57.5,86.25,22.5,Model 2,52.5,81.25,20,Model 2,50,81.25,18.75,Model 2,33.75,77.5,12.5,Model 2,40,85,8.75,Model 2,37.5,78.75,8.75,Model 2,37.5,77.5,10,Model 2,20,65,11.25,Model 2,31.25,77.5,15,Model 2,22.5,63.75,7.5,Model 2,25,62.5,5,Model 2,20,65,11.25,Model 2,18.75,65,1.25,Model 2,20,55,10,Model 2,15,51.25,3.75,Model 2,15,52.5,3.75,Model 2,12.5,57.5,2.5
